coord_um_t_5ps	rho_g_cc_t_5ps	Te_eV_t_5ps	Ti_eV_t_5ps
-0.0014978	1.98	0.15139	0.15106
-0.00091708	1.9415	0.14945	0.14904
-0.00033078	1.8986	0.1498	0.14891
0.00026272	1.8546	0.15028	0.14896
0.0008644999999999999	1.8204	0.15099	0.14958
0.0014717	1.8013	0.15223	0.15072
0.0020792	1.789	0.15457	0.15259
0.0026841	1.7781	0.15718	0.15458
0.003287	1.7645	0.1592	0.15611
0.0038886	1.7612	0.15766	0.15528
0.0044853	2.4349	0.11621	0.11285
0.005606799999999999	4.5	0.16418	0.1657
0.0062129	4.5	0.16781	0.16905
0.0068185	4.5	0.17154	0.17246
0.0074235	4.5	0.17555	0.17629
0.0080278	4.5	0.17974	0.17927
0.0086316	4.5	0.18397	0.18305
0.0092347	4.5	0.18826	0.18685
0.0098373	4.5	0.19269	0.19081
0.010439	4.5	0.19721	0.19482
0.011041	4.5	0.20151	0.19863
0.011641	4.5	0.20593	0.20253
0.012241	4.5	0.21029	0.20638
0.012841	4.5	0.21475	0.21028
0.01344	4.5	0.21945	0.2143
0.014038	4.5	0.22383	0.21835
0.014636	4.5	0.22804	0.22244
0.015233	4.5	0.23137	0.2265
0.01583	4.5	0.23475	0.23119
0.016426	4.5	0.23932	0.23623
0.017021	4.5	0.24478	0.24153
0.017616	4.5	0.25026	0.24688
0.01821	4.5	0.25559	0.25213
0.018803	4.5	0.26141	0.25759
0.019396	4.5	0.26678	0.2627
0.019989	4.5	0.27267	0.26842
0.020581	4.5	0.27938	0.27469
0.021172	4.5267	0.28773	0.28726
0.021759	4.5901	0.29779	0.30894
0.022337	4.5889	0.30493	0.31412
0.022915	4.5887	0.31259	0.32004
0.023493	4.5885	0.31947	0.32612
0.02407	4.603	0.32729	0.33678
0.024644	4.6816	0.33803	0.36553
0.025208	4.6806	0.34451	0.37065
0.025772	4.6798	0.35168	0.37623
0.026335	4.6792	0.35716	0.382
0.026898	4.7272	0.37048	0.4059
